COUNTRY,0-14 years old %,15-24 years %,25-54 years %,55-64 years %,65 years and above %,Internet users (%)
Afghanistan,40.62,21.26,31.44,4.01,2.68,13.5
Albania,17.6,15.39,42.04,11.94,13.03,71.85
Algeria,29.58,13.93,42.91,7.41,6.17,59.58
American Samoa,27.76,18.16,37.49,9.69,6.9,31.3
Andorra,13.37,10.16,43.19,15.91,17.36,91.57
Angola,47.83,18.64,27.8,3.43,2.3,14.34
Anguilla,21.63,13.9,42.27,12.42,9.78,81.57
Antigua and Barbuda,22.52,16.15,41.68,10.74,8.91,76.0
Argentina,24.02,15.19,39.6,9.07,12.13,74.29
Armenia,18.64,11.63,43.04,14.08,12.6,64.74
Aruba,17.55,12.06,40.54,14.79,15.05,97.17
Australia,18.72,12.89,41.15,11.35,15.88,86.55
Austria,14.01,10.36,41.35,14.41,19.87,87.71
Azerbaijan,22.84,13.17,45.29,11.41,7.29,79.8
"Bahamas, The",22.04,15.39,43.86,10.04,8.67,85.0
Bahrain,18.45,15.16,56.14,6.89,3.36,98.64
Bangladesh,26.48,18.56,40.72,7.41,6.82,15.0
Barbados,17.49,12.34,42.69,13.91,13.57,81.76
Belarus,16.09,9.59,43.94,14.45,15.93,79.13
Belgium,17.22,11.2,39.23,13.14,19.21,88.66
Belize,32.57,19.0,37.72,6.18,4.53,47.08
Benin,45.56,20.36,28.54,3.15,2.39,20.0
Bermuda,16.7,11.88,35.31,16.37,19.74,98.37
Bhutan,24.52,17.77,44.72,6.39,6.6,48.11
Bolivia,30.34,19.21,38.68,6.06,5.71,43.83
Bosnia and Herzegovina,13.18,10.83,44.52,15.24,16.22,70.12
Botswana,30.54,18.31,39.67,5.92,5.56,47.0
Brazil,21.11,16.06,43.83,9.78,9.21,67.47
British Virgin Islands,16.59,12.53,48.27,12.51,10.09,77.7
Brunei,22.41,16.14,47.21,8.34,5.9,94.6
Bulgaria,14.52,9.4,42.87,13.15,20.06,64.78
Burkina Faso,43.58,20.33,29.36,3.57,3.16,16.0
Burma,25.97,17.0,42.76,8.22,6.04,30.68
Burundi,43.83,19.76,29.18,4.17,3.06,2.66
Cabo Verde,27.95,18.69,40.76,7.12,5.48,58.17
Cambodia,30.18,17.28,41.51,6.44,4.59,40.0
Cameroon,42.34,20.04,30.64,3.87,3.11,23.2
Canada,15.99,11.14,39.81,14.08,18.98,91.0
Cayman Islands,17.75,11.86,41.37,14.78,14.24,81.07
Central African Republic,39.49,19.89,32.95,4.32,3.35,4.34
Chad,47.43,19.77,27.14,3.24,2.43,6.5
Chile,19.79,13.84,42.58,11.98,11.81,82.33
China,17.29,11.48,46.81,12.08,12.34,54.3
Christmas Island,12.79,12.2,57.91,11.66,5.44,35.8
Colombia,23.27,16.38,42.04,9.93,8.39,62.26
Comoros,36.68,20.75,33.99,4.49,4.08,8.48
"Congo, Democratic Republic of the",46.38,19.42,28.38,3.36,2.47,8.62
